Building ID,Building Name,Building Type,Floors,Year Built,Condition
B1,Building_1,Residential,4.0,1998.0,Good
B2,Building_2,Government,7.0,2018.0,Fair
B3,Building_3,Residential,,1991.0,Good
B4,Building_4,Residential,7.0,1994.0,Good
B5,Building_5,Government,5.0,2010.0,nan
B6,Building_6,Residential,4.0,1993.0,Good
nan,Building_7,Commercial,,1990.0,Good
B8,Building_8,Government,7.0,,nan
B9,Building_9,Government,6.0,,Good
B10,Building_10,Commercial,8.0,2006.0,Fair
nan,nan,Residential,4.0,1990.0,nan
B12,Building_12,Government,5.0,2017.0,nan
B13,Building_13,Government,4.0,2013.0,Good
B14,Building_14,nan,1.0,2022.0,Good
nan,Building_15,Commercial,8.0,1998.0,Good
B16,Building_16,Residential,1.0,1985.0,Good
B17,nan,Government,5.0,2017.0,nan
B18,Building_18,Residential,6.0,2021.0,Fair
nan,Building_19,Residential,6.0,2007.0,Fair
B20,Building_20,Commercial,5.0,1980.0,Poor
B21,Building_21,Government,3.0,2014.0,Good
B22,Building_22,Government,5.0,2019.0,Good
B23,Building_23,Government,8.0,1987.0,Fair
nan,Building_24,Commercial,2.0,1986.0,Poor
B25,Building_25,nan,6.0,1990.0,Good
B26,Building_26,Commercial,9.0,2018.0,Fair
B27,Building_27,Commercial,8.0,1983.0,Good
B28,Building_28,Commercial,,2004.0,Good
B29,Building_29,Government,8.0,1991.0,Fair
B30,Building_30,Residential,7.0,2005.0,Fair
B31,Building_31,Government,8.0,2017.0,Good
B32,nan,Residential,6.0,,Good
B33,Building_33,Commercial,2.0,2022.0,Fair
B34,Building_34,Residential,2.0,2016.0,Good
B35,nan,Government,8.0,2003.0,Good
B36,Building_36,Government,1.0,1995.0,Fair
B37,Building_37,Residential,6.0,,Good
B38,Building_38,nan,6.0,2004.0,Good
nan,Building_39,nan,4.0,1983.0,Poor
B40,Building_40,nan,3.0,1990.0,Fair
B41,Building_41,Residential,,2011.0,Poor
B42,Building_42,Commercial,1.0,1986.0,Poor
B43,Building_43,Commercial,,1990.0,Poor
B44,Building_44,Government,4.0,,Good
B45,Building_45,Commercial,5.0,2020.0,Good
B46,Building_46,Residential,3.0,,Poor
B47,Building_47,Government,6.0,2002.0,Poor
B48,Building_48,Government,5.0,2007.0,Poor
B49,Building_49,Residential,3.0,2022.0,Good
B50,Building_50,Government,6.0,2005.0,Poor
B51,Building_51,Commercial,6.0,2004.0,Poor
B52,Building_52,Commercial,8.0,2008.0,Fair
B53,Building_53,Residential,2.0,,Fair
B54,Building_54,nan,1.0,,Good
B55,Building_55,Residential,4.0,,Fair
B56,Building_56,Residential,7.0,1993.0,Fair
B57,Building_57,Commercial,,1993.0,Fair
B58,Building_58,Residential,3.0,,nan
B59,Building_59,Commercial,5.0,2009.0,Fair
B60,Building_60,Government,,,Good
B61,nan,Government,3.0,1996.0,Poor
B62,Building_62,Residential,9.0,1982.0,Fair
B63,Building_63,Commercial,4.0,1995.0,Good
B64,Building_64,Commercial,3.0,,Fair
B65,Building_65,Government,2.0,2008.0,Poor
B66,Building_66,Government,9.0,1994.0,Good
B67,nan,Commercial,,2004.0,Good
B68,Building_68,Residential,,2017.0,Good
B69,Building_69,Government,7.0,2021.0,Poor
B70,nan,Residential,8.0,2017.0,Poor
B71,Building_71,Residential,2.0,2002.0,Poor
B72,Building_72,nan,7.0,2004.0,Good
B73,Building_73,Residential,5.0,2021.0,Poor
B74,Building_74,Residential,5.0,1986.0,Fair
B75,Building_75,Commercial,3.0,2001.0,Poor
B76,Building_76,Residential,,1996.0,Good
B77,Building_77,nan,2.0,1997.0,Fair
B78,Building_78,Government,4.0,,Poor
B79,Building_79,Government,6.0,1989.0,Fair
B80,nan,Commercial,1.0,1989.0,nan
B81,Building_81,Government,4.0,1986.0,Good
B82,Building_82,Residential,6.0,2017.0,Fair
