Road ID,Road Name,Length (km),Type,Condition,Year Built
R1,Road_1,4.1,Dirt,Good,1999.0
R2,Road_2,9.5,Asphalt,Good,1985.0
R3,Road_3,7.5,Dirt,Good,1991.0
R4,nan,6.2,Asphalt,Good,1981.0
R5,nan,,Dirt,Good,1986.0
R6,Road_6,2.0,nan,nan,1995.0
R7,Road_7,1.1,Gravel,Fair,1982.0
R8,Road_8,8.7,Gravel,Fair,
R9,Road_9,6.2,Asphalt,Poor,
R10,Road_10,7.2,Dirt,Poor,2022.0
R11,Road_11,0.7,Asphalt,Fair,2019.0
R12,Road_12,9.7,Dirt,Fair,2017.0
R13,nan,8.4,Gravel,Fair,2012.0
R14,Road_14,2.5,nan,Fair,2007.0
R15,Road_15,2.2,Gravel,Fair,1980.0
R16,Road_16,2.2,nan,nan,1987.0
R17,nan,3.4,Dirt,nan,2016.0
R18,Road_18,5.5,Dirt,Good,
R19,Road_19,4.6,Asphalt,Fair,2022.0
R20,Road_20,3.3,Asphalt,nan,2016.0
R21,Road_21,6.3,Gravel,Fair,1983.0
R22,Road_22,,Gravel,Good,2009.0
R23,Road_23,3.3,Asphalt,Good,1985.0
R24,Road_24,4.0,Gravel,Fair,1998.0
R25,Road_25,4.8,Asphalt,Good,2011.0
R26,Road_26,8.0,Dirt,Good,1988.0
R27,nan,2.4,Gravel,Fair,1991.0
R28,Road_28,5.4,Gravel,Good,1990.0
R29,Road_29,,Asphalt,Poor,1995.0
R30,Road_30,0.9,Gravel,Poor,1980.0
R31,Road_31,6.3,Gravel,Poor,
R32,Road_32,2.1,Dirt,Poor,2009.0
R33,Road_33,1.1,Gravel,Fair,1992.0
R34,Road_34,,nan,Fair,2013.0
R35,Road_35,,Asphalt,Fair,1983.0
R36,Road_36,8.2,Gravel,Poor,2007.0
nan,Road_37,3.4,Dirt,Poor,2017.0
R38,Road_38,1.4,Asphalt,Good,2010.0
R39,Road_39,,Gravel,Good,
R40,Road_40,,Asphalt,Poor,1984.0
nan,Road_41,1.7,Gravel,Poor,2004.0
R42,Road_42,,Asphalt,Poor,1982.0
R43,Road_43,0.8,Asphalt,Poor,2012.0
R44,Road_44,9.1,Dirt,Good,1983.0
R45,Road_45,,nan,Poor,2004.0
R46,Road_46,6.8,nan,Good,1999.0
R47,Road_47,3.5,Gravel,Poor,2013.0
R48,Road_48,5.4,Dirt,Poor,2005.0
R49,Road_49,5.7,Gravel,Poor,
R50,Road_50,2.3,nan,nan,2014.0
R51,Road_51,9.7,Gravel,Good,2007.0
R52,Road_52,7.9,Asphalt,Fair,2008.0
R53,Road_53,9.4,Asphalt,Poor,1988.0
R54,Road_54,9.0,Gravel,Fair,2017.0
R55,Road_55,6.2,Dirt,Fair,1985.0
R56,Road_56,9.3,Asphalt,Good,1998.0
R57,Road_57,1.3,Dirt,Good,1990.0
R58,Road_58,2.4,nan,Fair,1981.0
R59,Road_59,0.9,Gravel,Poor,1988.0
R60,Road_60,3.6,Asphalt,Good,2000.0
R61,Road_61,4.2,Gravel,Poor,2003.0
R62,Road_62,3.1,Asphalt,Poor,2013.0
R63,Road_63,8.4,Gravel,Fair,
R64,nan,3.9,Gravel,Fair,1982.0
R65,Road_65,3.2,nan,Fair,1991.0
R66,Road_66,5.7,Asphalt,Fair,
R67,Road_67,1.8,Asphalt,nan,2009.0
R68,Road_68,8.1,Gravel,Good,2005.0
R69,Road_69,1.2,Gravel,Fair,2000.0
R70,Road_70,9.9,Dirt,nan,2007.0
R71,Road_71,,Asphalt,Fair,2005.0
R72,nan,2.4,Gravel,Poor,2012.0
R73,nan,0.6,Gravel,Poor,2000.0
R74,Road_74,8.2,Asphalt,Poor,2014.0
R75,Road_75,7.2,Dirt,Fair,
R76,Road_76,7.4,Asphalt,Poor,
R77,Road_77,7.8,Dirt,Good,1997.0
R78,Road_78,1.2,Gravel,Poor,1990.0
R79,Road_79,3.9,Dirt,nan,2002.0
nan,Road_80,1.6,Gravel,Poor,2001.0
R81,Road_81,8.7,Asphalt,Good,1996.0
R82,Road_82,6.4,Asphalt,Fair,
R83,Road_83,3.6,Asphalt,Good,1990.0
R84,Road_84,1.1,Dirt,Fair,2009.0
R85,Road_85,3.5,Gravel,Fair,
nan,Road_86,3.6,Asphalt,Poor,2006.0
R87,Road_87,,Asphalt,Fair,2014.0
nan,Road_88,6.6,Gravel,Good,2012.0
R89,Road_89,8.9,Asphalt,Good,1999.0
R90,Road_90,5.0,Gravel,Fair,1995.0
R91,Road_91,1.6,Gravel,nan,2013.0
R92,Road_92,7.3,Gravel,Poor,
R93,Road_93,7.7,Gravel,Good,2014.0
R94,Road_94,5.8,Gravel,Poor,
nan,Road_95,,Dirt,Fair,2007.0
nan,Road_96,5.2,Asphalt,Fair,2018.0
R97,Road_97,,Dirt,Good,1985.0
R98,nan,4.6,nan,Fair,
R99,Road_99,0.7,Dirt,Good,1999.0
R100,Road_100,1.5,Gravel,Fair,
R101,Road_101,0.8,Asphalt,Good,
R102,Road_102,6.5,Asphalt,Poor,2002.0
R103,Road_103,3.5,Dirt,nan,1982.0
